startt_uid,company-name,match_industry,match_sector,match_subsector
st-c-98,Active.AI,Financial Services & FinTech,Web3 & Emerging Tech,AI in Finance
st-c-99,Actlogica,Financial Services & FinTech,Investment & Wealth Tech,Personal Finance Management
st-c-100,Actofit,Consumer Goods & Services,Consumer Electronics,Wearable Technology
st-c-101,ActOnMagic,Technology & Digital Innovation,Cloud Computing & Infrastructure,Data Centers & Hosting
st-c-102,Actyv.ai,Technology & Digital Innovation,Enterprise Software & Services,Industry-Specific Software (Vertical SaaS)
st-c-108,AddressHealth,Healthcare & Life Sciences (MedTech & Biotech),Healthcare Providers & Services,Ambulatory Services
st-c-109,Addverb Technologies,Manufacturing & Industry 4.0,Industry 4.0 & Automation,Industrial Robotics & Automation
st-c-110,Adicube,Retail & Digital Commerce,E-commerce,Direct-to-Consumer (D2C) Brands
st-c-112,Adiuvo Diagnostics,Healthcare & Life Sciences (MedTech & Biotech),Consumer Health & Wellness,AI Diagnostics
st-c-114,Adonia Hospitality,Entertainment & Media,AdTech/MarTech,Event & Experiential Marketing
st-c-115,AdOnMo,Entertainment & Media,AdTech/MarTech,Event & Experiential Marketing
st-c-116,AdPushUp,Technology & Digital Innovation,Emerging Technologies,Internet of Things
st-c-117,AdStringO,Technology & Digital Innovation,Cloud Computing & Infrastructure,Cloud Storage Solutions
st-c-118,AdUrCup,Entertainment & Media,AdTech/MarTech,Event & Experiential Marketing
st-c-120,Advantage Club,Technology & Digital Innovation,Artificial Intelligence,Machine Learning
st-c-121,AdvaRisk,Financial Services & FinTech,Financial Infrastructure,Financial Data Analytics
st-c-122,Advenio,Healthcare & Life Sciences (MedTech & Biotech),Consumer Health & Wellness,AI Diagnostics
st-c-124,Advisory Mandi,Financial Services & FinTech,Investment & Wealth Tech,Robo-Advisory
st-c-125,AdWyze,Technology & Digital Innovation,Data & Analytics,Business Intelligence
st-c-126,Adya,Technology & Digital Innovation,Artificial Intelligence,Machine Learning
st-c-127,Adyaway,Retail & Digital Commerce,Niche E-Commerce Platforms,Luxury & Premium Goods Marketplaces
st-c-128,AEON Learning,Education & EdTech,EdTech,E-Learning Platforms
st-c-129,Aequm,Technology & Digital Innovation,Cloud Computing & Infrastructure,Data Centers & Hosting
st-c-130,Aequs,Automotive & Components,Auto Components,Electrical & Electronic Systems
st-c-131,Aerchain,Professional & Business Services,Office & Facilities Management,Procurement & Vendor Management
st-c-132,Aerem,Energy & Utilities,Energy Technology & Innovation,Energy Trading Platforms
st-c-133,Aereo,Aerospace & Defence,Aerospace & Defence Systems,Drones
st-c-135,AeroMegh,Technology & Digital Innovation,Emerging Technologies,5G Applications
st-c-137,Aether Biomedical,Healthcare & Life Sciences (MedTech & Biotech),Healthcare Equipment & Supplies,Assistive Technology
st-c-138,Affimity,Technology & Digital Innovation,Data & Analytics,Business Intelligence
st-c-139,Affordplan,Financial Services & FinTech,InsurTech,Digital Insurance Platforms
st-c-140,Afinoz,Financial Services & FinTech,Digital Lending & Neobanks,Education Loans & Financing
st-c-142,Agara,Technology & Digital Innovation,Artificial Intelligence,Conversational AI & Chatbots
st-c-143,AGATSA,Healthcare & Life Sciences (MedTech & Biotech),Healthcare Technology,Remote Patient Monitoring
st-c-145,AgNext,Agriculture & AgriTech,Agricultural Supply Chain,Agricultural Marketplaces
st-c-147,Agraga,Transportation & Logistics,Logistics,Freight Tech
st-c-148,Agrahyah Technologies,Consumer Goods & Services,Personal Products,Ayurvedic & Natural Products
st-c-149,Agri10x,Technology & Digital Innovation,Artificial Intelligence,AI Agents
st-c-150,Agricx,Agriculture & AgriTech,AgriTech,Precision Agriculture & IoT
st-c-151,Agrim,Agriculture & AgriTech,Agricultural Supply Chain,Agricultural Marketplaces
st-c-152,Agrima Infotech,Technology & Digital Innovation,Artificial Intelligence,Machine Learning
st-c-153,Agrix,Technology & Digital Innovation,Emerging Technologies,Internet of Things
st-c-154,Agrizy,Agriculture & AgriTech,Agricultural Supply Chain,Agricultural Marketplaces
st-c-155,Agro2o,Retail & Digital Commerce,Quick Commerce,Hyperlocal Delivery Networks
st-c-156,AgroStar,Technology & Digital Innovation,Emerging Technologies,Internet of Things
st-c-157,AgroWave,Agriculture & AgriTech,Agricultural Supply Chain,Farm-to-Consumer Platforms
st-c-158,Agua Wireless Systems,CleanTech & Sustainability,Water Management,Smart Water Systems
st-c-159,AHA Taxis,"Travel, Hospitality & Experiences",TravelTech,Alternative Accommodation Marketplaces
st-c-160,Ahaguru,Healthcare & Life Sciences (MedTech & Biotech),Healthcare Technology,Medical Imaging Software
st-c-161,Ahammune Biosciences,Healthcare & Life Sciences (MedTech & Biotech),Pharmaceuticals,Ayurveda & Alternative Medicine
st-c-162,Ai Health Highway,Healthcare & Life Sciences (MedTech & Biotech),Healthcare Technology,Health Analytics & AI
st-c-163,Ai Palette,Technology & Digital Innovation,Artificial Intelligence,Machine Learning
st-c-164,Aibono,Food & Beverage,Food & Beverage Technology,Food Analytics & AI
st-c-165,Aidia Technovations,Education & EdTech,EdTech,Educational Apps & Mobile Learning
st-c-166,Airattix,Technology & Digital Innovation,Cloud Computing & Infrastructure,Cloud Storage Solutions
st-c-167,Airavana,Technology & Digital Innovation,Artificial Intelligence,AI Agents
st-c-169,Airbook,Technology & Digital Innovation,Cloud Computing & Infrastructure,Data Centers & Hosting
st-c-170,AirCTO,Technology & Digital Innovation,Enterprise Software & Services,Industry-Specific Software (Vertical SaaS)
st-c-171,Airlearn,Education & EdTech,EdTech,Educational Apps & Mobile Learning
st-c-172,AirMed Labs,Healthcare & Life Sciences (MedTech & Biotech),Consumer Health & Wellness,Health Monitoring Platforms
st-c-173,Airmeet,Technology & Digital Innovation,Cloud Computing & Infrastructure,Cloud Storage Solutions
st-c-174,Airpay,Financial Services & FinTech,Web3 & Emerging Tech,Open Banking Platforms
st-c-175,AiRTH,Healthcare & Life Sciences (MedTech & Biotech),Consumer Health & Wellness,Telehealth Infrastructure
st-c-176,Airwoot,Education & EdTech,EdTech,E-Learning Platforms
st-c-177,Aisle,Technology & Digital Innovation,Emerging Technologies,5G Applications
st-c-178,Aissel Technologies,Healthcare & Life Sciences (MedTech & Biotech),Healthcare Technology,Health Analytics & AI
st-c-179,AjnaLens,Technology & Digital Innovation,Emerging Technologies,Augmented & Virtual Reality
st-c-180,Aker Foods,Food & Beverage,Food & Beverage Technology,Food Delivery Platforms
st-c-182,Aknamed,Technology & Digital Innovation,Emerging Technologies,Internet of Things
st-c-183,Akshayakalpa,Technology & Digital Innovation,Emerging Technologies,Internet of Things
st-c-184,Aksum,Manufacturing & Industry 4.0,Building & Construction Products,Building Materials Manufacturing
st-c-185,Akudo,Financial Services & FinTech,Digital Lending & Neobanks,Education Loans & Financing
st-c-186,Algobulls,Financial Services & FinTech,Investment & Wealth Tech,Stock Trading Apps
st-c-188,Algopixel Technologies,Aerospace & Defence,Aerospace & Defence Systems,Drones
st-c-189,Algorhythm Tech,Manufacturing & Industry 4.0,Industrial Services & Supply Chain,Smart Manufacturing & Production Logistics
st-c-190,Algorithmic Biologics,Healthcare & Life Sciences (MedTech & Biotech),Life Sciences & BioTech,Genomics & Proteomics
st-c-191,Aliste Technologies,Real Estate & Construction,Smart Building Solutions,Smart Home/Office Technology
st-c-194,Allfresh Supply Management,Agriculture & AgriTech,Agricultural Supply Chain,Post-Harvest Management
st-c-197,AllTrak,Technology & Digital Innovation,Cloud Computing & Infrastructure,Data Centers & Hosting
st-c-198,Allygrow Technologies,Automotive & Components,Automotive Technology,EV Charging Infrastructure
st-c-199,Alma Connect,Education & EdTech,EdTech,E-Learning Platforms
st-c-200,Alma Mater,Education & EdTech,Higher Education,Universities & Colleges
st-c-201,AlmaBetter,Technology & Digital Innovation,Data & Analytics,Data Integration & ETL
st-c-202,AlmaMapper,Education & EdTech,EdTech,E-Learning Platforms
st-c-203,AlphaICs,Technology & Digital Innovation,Artificial Intelligence,Machine Learning
st-c-206,Alt Mobility,Automotive & Components,Vehicle Manufacturing & OEMs,Electric & Hybrid Vehicles (EVs)
st-c-208,Altigreen,Automotive & Components,Vehicle Manufacturing & OEMs,Electric & Hybrid Vehicles (EVs)
st-c-210,Altitude Club,Financial Services & FinTech,Investment & Wealth Tech,Personal Finance Management
st-c-211,AltiusHub,Automotive & Components,Vehicle Manufacturing & OEMs,Original Equipment Manufacturers (OEMs)
st-c-212,Altizon Systems,Technology & Digital Innovation,Emerging Technologies,Internet of Things
st-c-213,altM,Textiles & Apparel,Sustainable Textiles,Eco-friendly Material Innovation
st-c-214,AltUni,Education & EdTech,EdTech,E-Learning Platforms
st-c-215,Alwrite,Financial Services & FinTech,InsurTech,Insurance Aggregators
st-c-216,ALYF,Real Estate & Construction,PropTech,Real Estate Transaction Platforms
st-c-217,AM Needs,Retail & Digital Commerce,Quick Commerce,Essentials Quick Delivery
st-c-218,Amagi,Technology & Digital Innovation,Cloud Computing & Infrastructure,Data Centers & Hosting
st-c-219,Amaha,Healthcare & Life Sciences (MedTech & Biotech),Healthcare Providers & Services,Mental Health Services
st-c-221,Ambee,CleanTech & Sustainability,ClimateTech,Air Quality Monitoring
st-c-222,AmberStudent,"Travel, Hospitality & Experiences",TravelTech,Alternative Accommodation Marketplaces
st-c-224,Ambitio,Financial Services & FinTech,Web3 & Emerging Tech,Decentralized Finance (DeFi)
st-c-227,AMELIORATE BIOTECH,Healthcare & Life Sciences (MedTech & Biotech),Life Sciences & BioTech,Genomics & Proteomics
st-c-229,Amigobulls,Financial Services & FinTech,Investment & Wealth Tech,Financial Education
st-c-230,Amikus AI,Technology & Digital Innovation,Artificial Intelligence,AI Agents
st-c-232,Ampere Vehicles,Automotive & Components,Vehicle Manufacturing & OEMs,Electric & Hybrid Vehicles (EVs)
st-c-233,AMPM,Textiles & Apparel,Apparel Brands & Retail,Luxury Lifestyle
st-c-234,Amvicube,Agriculture & AgriTech,AgriTech,Precision Agriculture & IoT
st-c-235,Anaek,Technology & Digital Innovation,Cloud Computing & Infrastructure,Cloud Platforms & Infrastructure
st-c-236,Anakage Technology,Technology & Digital Innovation,Cloud Computing & Infrastructure,Data Centers & Hosting
st-c-237,Anandakanda,Healthcare & Life Sciences (MedTech & Biotech),Pharmaceuticals,Ayurveda & Alternative Medicine
st-c-238,Anar,Technology & Digital Innovation,Enterprise Software & Services,Business Management Software
st-c-239,Anarock,Financial Services & FinTech,Investment & Wealth Tech,Wealth Management Solutions
st-c-240,Anaxee Digital Runners,Technology & Digital Innovation,Data & Analytics,Data Visualization
st-c-241,Anchanto,Retail & Digital Commerce,Niche E-Commerce Platforms,Luxury & Premium Goods Marketplaces
st-c-242,Animall,Agriculture & AgriTech,Agricultural Supply Chain,Farm-to-Consumer Platforms
st-c-243,AnKa SumMor Foods,Retail & Digital Commerce,Supply Chain & Distribution,Logistics Tech for Retail
st-c-244,ANS Commerce,Retail & Digital Commerce,Niche E-Commerce Platforms,Luxury & Premium Goods Marketplaces
st-c-245,Answer Genomics,Healthcare & Life Sciences (MedTech & Biotech),Consumer Health & Wellness,AI Diagnostics
st-c-246,AntFarm,Technology & Digital Innovation,Emerging Technologies,Robotics Software
st-c-247,Antuit,Retail & Digital Commerce,Retail Technology,Omnichannel Retail Solutions
st-c-249,AntWorks,Technology & Digital Innovation,Enterprise Software & Services,Business Management Software
st-c-251,Anveshan,Retail & Digital Commerce,E-commerce,Social Commerce
st-c-252,Anveya,Consumer Goods & Services,Personal Products,Skincare & Cosmetics (D2C Beauty)
st-c-253,Apalya Technologies,Entertainment & Media,Media Production & Distribution,OTT Platforms
st-c-254,apna,Education & EdTech,Vocational & Skills Training,Professional Certification Programs
st-c-255,ApnaComplex,Technology & Digital Innovation,Enterprise Software & Services,Industry-Specific Software (Vertical SaaS)
st-c-256,ApnaKlub,Retail & Digital Commerce,Retail Technology,Inventory Management Systems
st-c-257,ApniBus,Technology & Digital Innovation,Enterprise Software & Services,IT Infrastructure Management
st-c-258,App Plus,Technology & Digital Innovation,Enterprise Software & Services,Software Development
st-c-259,AppAlert,Retail & Digital Commerce,Niche E-Commerce Platforms,Luxury & Premium Goods Marketplaces
st-c-260,Appbase,Technology & Digital Innovation,Cloud Computing & Infrastructure,Data Centers & Hosting
st-c-261,Appboxo,Retail & Digital Commerce,Niche E-Commerce Platforms,Luxury & Premium Goods Marketplaces
st-c-262,AppBrowzer,Financial Services & FinTech,Investment & Wealth Tech,Stock Trading Apps
st-c-263,Appedo,Technology & Digital Innovation,Cloud Computing & Infrastructure,Data Centers & Hosting
st-c-266,Appit Simple Infotek,Technology & Digital Innovation,Emerging Technologies,Internet of Things
st-c-267,Appiyo Technologies,Technology & Digital Innovation,Cloud Computing & Infrastructure,Cloud Platforms & Infrastructure
st-c-268,Appknox,Technology & Digital Innovation,Cybersecurity,Network and Application Security
st-c-271,AppLop,Technology & Digital Innovation,Emerging Technologies,5G Applications
st-c-272,Appnit Technologies,Financial Services & FinTech,Payments & Transaction Services,Payment Gateways
st-c-273,Appnomic Systems,Technology & Digital Innovation,Enterprise Software & Services,IT Infrastructure Management
st-c-274,Appsay,Technology & Digital Innovation,Emerging Technologies,5G Applications
st-c-275,APPSDAILY SOLUTIONS,Retail & Digital Commerce,Niche E-Commerce Platforms,Luxury & Premium Goods Marketplaces
st-c-278,Appsmith,Technology & Digital Innovation,Enterprise Software & Services,IT Infrastructure Management
st-c-279,Apptile,Entertainment & Media,Media Production & Distribution,OTT Platforms
st-c-282,APRUS Bio-Medical Innovations,Healthcare & Life Sciences (MedTech & Biotech),Healthcare Equipment & Supplies,Wearable Health Devices
st-c-283,Aqgromalin,Agriculture & AgriTech,Agricultural Produce,Livestock & Animal Husbandry
st-c-284,AquaConnect,Technology & Digital Innovation,Artificial Intelligence,Machine Learning
st-c-285,Aquatein,Healthcare & Life Sciences (MedTech & Biotech),Consumer Health & Wellness,Telehealth Infrastructure
st-c-286,Arata,Consumer Goods & Services,Personal Products,Skincare & Cosmetics (D2C Beauty)
st-c-287,Arcana Network,Financial Services & FinTech,Web3 & Emerging Tech,Blockchain & Cryptocurrency
st-c-288,Arcatron Mobility,Healthcare & Life Sciences (MedTech & Biotech),Healthcare Equipment & Supplies,Assistive Technology
st-c-291,Aris Infra,Technology & Digital Innovation,Artificial Intelligence,AI Agents
st-c-294,Ark robot,Manufacturing & Industry 4.0,Industry 4.0 & Automation,Industrial Robotics & Automation
st-c-295,Arkin,Technology & Digital Innovation,Cloud Computing & Infrastructure,Data Centers & Hosting
st-c-296,Armsprime Media,Entertainment & Media,Social & Digital Media,Metaverse Platforms & Virtual Worlds
st-c-297,Arnekt Solutions,Technology & Digital Innovation,Artificial Intelligence,Conversational AI & Chatbots
st-c-298,AroLeap,Technology & Digital Innovation,Artificial Intelligence,AI Agents
st-c-299,ArrayStorm,Automotive & Components,Auto Components,Electrical & Electronic Systems
st-c-300,Arre,Technology & Digital Innovation,Enterprise Software & Services,Software Development
st-c-301,Arrivae,Real Estate & Construction,Smart Building Solutions,Smart Home/Office Technology
st-c-304,Arthya Wealth and Investments,Financial Services & FinTech,Investment & Wealth Tech,Personal Finance Management
st-c-306,Artivatic,Technology & Digital Innovation,Artificial Intelligence,AI Agents
st-c-307,Artoo,Financial Services & FinTech,Web3 & Emerging Tech,Open Banking Platforms
st-c-309,Arya,Agriculture & AgriTech,Agricultural Supply Chain,Agricultural Marketplaces
st-c-310,Arya.Ag,Agriculture & AgriTech,Agricultural Supply Chain,Agricultural Marketplaces
st-c-311,Aryaka,Telecommunications,Communication Platforms,Cloud Telephony Services
st-c-312,Arzooo,Retail & Digital Commerce,Retail Technology,Inventory Management Systems
st-c-313,ASADELTECH,Healthcare & Life Sciences (MedTech & Biotech),Healthcare Technology,Remote Patient Monitoring
st-c-314,AskMyGift,Retail & Digital Commerce,Niche E-Commerce Platforms,Luxury & Premium Goods Marketplaces
st-c-315,AskSid,Technology & Digital Innovation,Artificial Intelligence,Conversational AI & Chatbots
st-c-316,Aspiro,Technology & Digital Innovation,Artificial Intelligence,Conversational AI & Chatbots
st-c-317,ASQI Advisors,Technology & Digital Innovation,Emerging Technologies,Blockchain & Web3
st-c-319,AssetPlus,Financial Services & FinTech,Investment & Wealth Tech,Personal Finance Management
st-c-320,Assiduus Global,Retail & Digital Commerce,E-commerce,Cross-border E-commerce
st-c-322,Astrogate Labs,Technology & Digital Innovation,Hardware & Semiconductors,Semiconductor
st-c-323,Astrome Technologies,Telecommunications,Connectivity Solutions,Satellite Communication Services
st-c-324,At Social,Entertainment & Media,Social & Digital Media,Social Media Platforms
st-c-325,Ather Energy,CleanTech & Sustainability,Renewable Energy,Energy Storage Technologies
st-c-326,Athletto,Technology & Digital Innovation,Emerging Technologies,5G Applications
st-c-327,Ati Motors,Technology & Digital Innovation,Emerging Technologies,Robotics Software
st-c-328,Atica,"Travel, Hospitality & Experiences",Hotel & Hospitality Tech,Hotel Tech & Property Management
st-c-329,Atlan,Technology & Digital Innovation,Artificial Intelligence,AI Agents
st-c-332,Atomicwork,Technology & Digital Innovation,Artificial Intelligence,AI Agents
st-c-333,AtomX,Technology & Digital Innovation,Emerging Technologies,Internet of Things
st-c-334,AttainU,Education & EdTech,Vocational & Skills Training,Professional Certification Programs
st-c-335,Attentive AI,Real Estate & Construction,Construction Tech,Sustainable Construction Solutions
st-c-336,Attero,CleanTech & Sustainability,Waste Management & Recycling,E-Waste Management
st-c-337,Attron Automotive,Automotive & Components,Vehicle Manufacturing & OEMs,Electric & Hybrid Vehicles (EVs)
st-c-340,AudioCompass,"Travel, Hospitality & Experiences",TravelTech,Trip Planning & Itinerary Solutions
st-c-341,AuditCue,Technology & Digital Innovation,Cybersecurity,Compliance & Risk Management
st-c-342,Augrav,Textiles & Apparel,FashionTech,Virtual & Augmented Reality Solutions
st-c-343,Aulerth,Retail & Digital Commerce,Niche E-Commerce Platforms,Luxury & Premium Goods Marketplaces
st-c-344,Auntie Fung’s,Consumer Goods & Services,Personal Products,Ayurvedic & Natural Products
st-c-345,Aura Semiconductor,Energy & Utilities,Energy Equipment & Services,Energy Monitoring & Management
st-c-347,Aurassure,Telecommunications,Connectivity Solutions,IoT & M2M Connectivity
st-c-348,Auravedic,Consumer Goods & Services,Personal Products,Ayurvedic & Natural Products
st-c-349,Aureus Analytics,Technology & Digital Innovation,Data & Analytics,Predictive Analytics
st-c-350,Auric,Consumer Goods & Services,Personal Products,Ayurvedic & Natural Products
st-c-352,Aurum PropTech,Healthcare & Life Sciences (MedTech & Biotech),Consumer Health & Wellness,AI Diagnostics
st-c-355,Autify Network,Financial Services & FinTech,Web3 & Emerging Tech,Blockchain & Cryptocurrency
st-c-357,Autocracy Machinery,Manufacturing & Industry 4.0,Industrial Machinery & Equipment,Specialty Industrial Machinery
st-c-359,AutoGrid,Automotive & Components,Automotive Technology,Vehicle Telematics & Diagnostics
st-c-360,AutomatAPI,Technology & Digital Innovation,Artificial Intelligence,AI Agents
st-c-364,AutoNxt Automation,Automotive & Components,Automotive Technology,Autonomous Vehicles (AV Tech)
st-c-365,AutoSense,Technology & Digital Innovation,Data & Analytics,Data Integration & ETL
st-c-369,AvalonMeta,Retail & Digital Commerce,Niche E-Commerce Platforms,Luxury & Premium Goods Marketplaces
st-c-371,Avanti,Financial Services & FinTech,Web3 & Emerging Tech,Financial Inclusion Solutions
st-c-372,Avanti Finance,Financial Services & FinTech,Web3 & Emerging Tech,Financial Inclusion Solutions
st-c-373,Avataar,Technology & Digital Innovation,Artificial Intelligence,Computer Vision
st-c-374,AvatarLife,Technology & Digital Innovation,Emerging Technologies,Blockchain & Web3
st-c-375,Avekshaa,Technology & Digital Innovation,Enterprise Software & Services,IT Infrastructure Management
st-c-376,Avenue Growth,Retail & Digital Commerce,Niche E-Commerce Platforms,Luxury & Premium Goods Marketplaces
st-c-377,Avenue11,Retail & Digital Commerce,Retail Technology,ONDC
st-c-378,Avi Networks,Technology & Digital Innovation,Enterprise Software & Services,IT Infrastructure Management
st-c-379,Aviom India Housing Finance,Automotive & Components,Automotive Technology,Autonomous Vehicles (AV Tech)
st-c-380,Avishkaar,Technology & Digital Innovation,Emerging Technologies,Robotics Software
st-c-381,Avni,Textiles & Apparel,FashionTech,Digital Fashion Platforms
st-c-383,Awesomestays,"Travel, Hospitality & Experiences",TravelTech,Alternative Accommodation Marketplaces
st-c-385,Awfis,Professional & Business Services,Office & Facilities Management,Business Travel Platforms
st-c-386,Awign,Technology & Digital Innovation,Cloud Computing & Infrastructure,Data Centers & Hosting
st-c-387,Awiros,Technology & Digital Innovation,Data & Analytics,Business Intelligence
st-c-388,Awon GameZ,Entertainment & Media,Social & Digital Media,Metaverse Platforms & Virtual Worlds
st-c-390,Axtria,Healthcare & Life Sciences (MedTech & Biotech),Healthcare Technology,Health Analytics & AI
st-c-391,Ayasta Technologies,Technology & Digital Innovation,Emerging Technologies,Internet of Things
st-c-393,Ayekart,Retail & Digital Commerce,Supply Chain & Distribution,Warehouse Management Systems
