startt-angel-id,investor-name,summary,confidence_score,data_quality_score,total_investments,location,processing_timestamp,,,,
st-ppa-326,Deep Bajaj,"Deep Bajaj, with 36 years of experience as a Co-Founder in healthcare and consumer sectors, offers strategic insights into MedTech & Biotech investments. His portfolio includes AI-driven health solutions like DR. MANTRA, demonstrating his commitment to innovation. Ideal for founders targeting growth in health tech and wellness, particularly within India's dynamic market landscape.

Key strengths: Founder expertise, sector-specific focus, recent active investment history.",0.873015873,1.066666667,16,,2025-05-25T18:27:19.962300,,,,Average Experience Years      : 28.338436744560838
st-ppa-896,Raveen Sastry,"Raveen Sastry, with 28 years in tech entrepreneurship, offers strategic advisory from Zeta Global. His investments span EdTech, AgriTech, and Cloud Computing, reflecting a keen focus on emerging technologies. Founders gain access to his deep industry insights and networks, particularly valuable for early-stage ventures seeking growth capital.

---

This summary highlights Sastry's extensive experience, specific sector expertise, and the strategic value he provides to founders in relevant industries.",0.873015873,1.066666667,12,,2025-05-25T18:27:26.687771,,,,Profiles with Investment Data : 1206
st-ppa-1204,Tarun Katial,"Tarun Katial, with 27 years in media and tech leadership, offers strategic insights from founding roles at BIG FM and ZEE5. His investment focus includes MedTech/Biotech and Telecom Infrastructure, demonstrated by recent deals like Curelo and Macmerise. Geographically relevant to India, he provides founders with sector-specific expertise and a proven track record of nurturing growth in consumer health and telecom sectors.",0.873015873,1.066666667,2,,2025-05-25T18:27:32.647947,,,,Profiles with Professional Data: 1078
st-ppa-1271,Vikas D Nahar,"Vikas D Nahar, with 17 years of leadership experience as Founder & CEO at Happilo and Managing Director at Satvikk Speciality Foods, offers strategic insights in Consumer Goods & Services. His recent investments focus on Personal Products and Consumer Health & Wellness sectors, providing founders access to a network of innovative companies like The Ayurveda Co. Ideal for startups seeking growth capital in these industries.",0.873015873,1.066666667,3,,2025-05-25T18:27:38.647515,,,,Profiles with Education Data  : 0
st-ppa-984,Sameer Desai,"Sameer Desai, with a focused investment in Healthcare Technology, brings strategic value through his targeted backing of MedTech & Biotech firms like Nayam Innovations. His expertise lies in nurturing early-stage healthcare innovations, offering founders industry-specific insights and growth opportunities within the U.S. market. This positions him as an ideal partner for startups seeking sector-aligned capital and guidance.",0.477777778,0.666666667,1,,2025-05-25T18:27:44.062628,,,,==============================================
st-ppa-319,Chinnikrishnan Ranganathan,Limited data available for Chinnikrishnan Ranganathan,0.1,0.1,0,,2025-05-25T18:27:45.249862,,,,
st-ppa-848,Rajan Bajaj,"Rajan Bajaj, with a decade of experience founding Mesh Internet and leading slice as CEO, offers strategic insights in Food & Beverage Technology and Financial Infrastructure sectors. His investment focus includes innovative companies like SuperK and UPSWING, providing targeted support for early-stage ventures in these industries. Geographically flexible, he brings credibility from his leadership roles to guide founders effectively.",0.773015873,1.066666667,2,,2025-05-25T18:27:50.751355,,,,
st-ppa-388,Feroze Sethna,"Feroze Sethna, with 43 years as Managing Partner at Feroze Foods And Flavours, offers strategic insights in retail & digital commerce. His investment focus is niche e-commerce platforms, evidenced by his backing of SWIRL in 2019. Founders seeking capital for innovative e-commerce ventures will benefit from his sector expertise and long-term industry perspective.

(Note: Geographic relevance not specified due to lack of data.)",0.53015873,0.866666667,1,,2025-05-25T18:27:56.733292,,,,
st-ppa-155,Ankit Tandon,"Ankit Tandon, with 21 years of experience at OYO and McKinsey & Company, offers strategic insights as Global CBO and CEO in key regions like Latam and China. His investment focus spans Food & Beverage Technology, Emerging Technologies, and Healthcare Services, demonstrated by recent investments in Ghost Kitchens and Mykare Health. Tandon provides founders with sector-specific expertise and regional market access, enhancing growth potential in these dynamic industries.",0.657142857,1,3,,2025-05-25T18:28:02.900240,,,,
st-ppa-1130,Sreevathsa Prabhakar,"Sreevathsa Prabhakar offers strategic insights in textiles, technology, and retail sectors with a recent focus on technical textiles and quick commerce. With investments like Bambrew and TechEagle Innovations, he provides expertise in digital innovation and data analytics. His active investment pattern since 2019 demonstrates commitment to supporting growth-stage ventures seeking capital infusion.",0.511111111,0.666666667,3,,2025-05-25T18:28:08.418668,,,,
st-ppa-1255,Vibhore Goyal,"Vibhore Goyal, with 22 years of experience as a founder and CTO at CoCubes.com and OneBanc Technologies Pvt Ltd., offers strategic insights in Food & Beverage Technology, Quick Commerce, and EdTech. His investment focus on sectors like KOUZINA FOOD TECH highlights his expertise in scaling innovative startups. Founders seeking capital in these industries will benefit from Goyal's deep sector knowledge and proven track record of supporting growth-oriented ventures.",0.761904762,1,3,,2025-05-25T18:28:14.914642,,,,
st-ppa-720,Nitin Passi,"Nitin Passi, with 22 years as Director at Lotus Herbals Ltd., offers strategic insights in Beauty & Wellness Services and AI-driven Technology sectors. His recent investments in Typsy Beauty demonstrate a keen focus on innovation within these industries. Founders can leverage his expertise for growth in personal services and tech innovations, particularly benefiting from his active investment pattern since 2022.",0.63968254,1.066666667,2,,2025-05-25T18:28:20.481075,,,,
st-ppa-1030,Sanjeev Shriya,"Sanjeev Shriya, with 30 years as founder of Smart Chip Limited, offers deep MedTech & Biotech insights. His portfolio includes NirogStreet and Supply6 in Pharmaceuticals and Consumer Health sectors. Provides strategic guidance for healthcare startups, leveraging his extensive industry experience to enhance growth potential, particularly valuable for founders seeking expertise-driven investment in these niches.",0.646031746,0.933333333,2,,2025-05-25T18:28:26.008978,,,,
st-ppa-867,Rajkumar Elango,"Rajkumar Elango, with 27 years of experience founding successful ventures like Raj Hospitality Services, offers strategic insights in Retail & Digital Commerce and CleanTech sectors. His investment focus includes Niche E-Commerce Platforms and ClimateTech, providing targeted support for startups aiming to innovate within these industries. Ideal for founders seeking expertise in sustainable technology solutions.

(Note: Geographic relevance is not specified due to lack of data.)",0.746031746,0.933333333,2,,2025-05-25T18:28:32.135218,,,,
st-ppa-901,Ravi Gupta,"Ravi Gupta, with 42 years of experience, is a seasoned founder at Touras, bringing deep insights from leading roles in FinTech and CleanTech sectors. His investment focus includes Payments & Transaction Services and Water Management, offering strategic guidance and credibility in these areas. Ideal for founders seeking expertise-driven capital in Financial Services & Sustainability, particularly within India's evolving market landscape.",0.695238095,1,2,,2025-05-25T18:28:37.728054,,,,
st-ppa-307,Chanakya Hridaya,"Chanakya Hridaya, co-founder of BlackBuck, leverages 10+ years in automotive & retail tech investments. With a focus on Retail Technology and Automotive Technology sectors, he offers strategic insights for scaling ventures. His portfolio includes companies like Exponent Energy, demonstrating expertise in Industry 4.0 and supply chain innovations. Ideal for founders seeking capital with sector-specific guidance.

(Note: Geographic relevance not specified; assumes global reach based on investment patterns.)",0.679365079,0.933333333,4,,2025-05-25T18:28:44.120686,,,,
st-ppa-153,Ankit Mittal,"Ankit Mittal, with 18 years as Director at Mittal Portfolios Pvt. Ltd., offers strategic insights in TravelTech. His recent investment in THE HIVE HOSTELS underscores a focused expertise in the Travel, Hospitality & Experiences sector. Founders gain from his deep industry knowledge and proven track record in nurturing growth within this niche market.",0.673015873,1.066666667,1,,2025-05-25T18:28:49.580533,,,,
st-ppa-1214,Tushar Anand,"Tushar Anand offers strategic investments in Energy Technology & Construction Tech, with a proven track record in 'Rays Power Infra' and 'Crib'. His recent activity underscores commitment to these sectors. Founders benefit from his focused expertise and active investment approach, particularly relevant for projects within energy and construction innovation.

(Note: Due to limited background data, geographic relevance is not specified.)",0.477777778,0.666666667,2,,2025-05-25T18:28:55.149345,,,,
st-ppa-1195,Swati Mohan,"Swati Mohan, with 25 years in leadership roles at GrowthX® and UFO Moviez India Limited, offers strategic insights into technology & digital innovation. Her investments focus on AI and enterprise software, providing founders access to a network of top-tier tech companies like Netflix. Geographically relevant for Indian startups, she brings credibility from her directorial experience at Ogilvy & Mather.

---

This summary highlights Swati Mohan's professional background, sector expertise, investment patterns, and geographic relevance, tailored specifically for founders seeking strategic value in the technology and digital innovation sectors.",0.63968254,1.066666667,3,,2025-05-25T18:29:02.609073,,,,
st-ppa-149,Ankit Khandelwal,"Ankit Khandelwal, with 18 years of experience as a founder in niche e-commerce platforms, offers strategic insights into retail & digital commerce. His active investment history includes recent deals like RetainIQ and Tamasha, demonstrating a keen focus on innovative e-commerce solutions. Ideal for founders seeking expertise in scaling niche online businesses.

---

This summary highlights Ankit's professional credibility through his extensive founding experience, emphasizes his sector-specific investment focus, and underscores the value he provides to founders looking to grow within the retail and digital commerce sectors.",0.873015873,1.066666667,2,,2025-05-25T18:29:09.782814,,,,
st-ppa-757,Pradeep Gupta,"Pradeep Gupta, Chairman of CyberMedia Group with 43 years in leadership roles, offers strategic insights into the Automotive Technology sector. His investment focus includes companies like Clensta and Electrifuel, demonstrating a keen interest in innovative automotive solutions. Gupta's extensive experience provides founders access to deep industry knowledge and credible networks within India’s tech-driven automotive landscape.",0.673015873,1.066666667,2,,2025-05-25T18:29:15.382586,,,,
st-ppa-598,Masoom Minawala,"Masoom Minawala, with 20 years in founding roles at Style Fiesta and MasoomMinawala.Com, offers strategic insights as a Sim Gems Group advisor. His investment focus spans FashionTech, Cloud Computing, and Personal Products, demonstrated by recent deals like BlissClub and Wishlink. Ideal for founders seeking capital in Textiles & Apparel or Digital Innovation sectors, Minawala provides industry-specific expertise and active engagement.

(Note: Geographic relevance is not specified in the provided data.)",0.69047619,1,4,,2025-05-25T18:29:22.033943,,,,
st-ppa-219,Arvind Parthiban,"Arvind Parthiban, with 19 years of leadership in tech startups like Zarget and SuperOps.ai, offers strategic insights into AI and digital innovation sectors. His investment focus includes social media and smart building solutions, providing founders access to a network of cutting-edge technology ventures. Ideal for early-stage companies seeking growth capital in these dynamic fields.",0.83968254,1.066666667,3,,2025-05-25T18:29:27.685379,,,,
st-ppa-222,Asad Khan,"Asad Khan, with 24 years of leadership at LambdaTest and 360logica, offers strategic insights in software testing and FinTech. As an active angel investor since 2020, he focuses on Financial Infrastructure, demonstrated by his investment in Bluecopa. His expertise provides founders access to critical industry knowledge and capital for growth within the financial services sector.",0.73968254,1.066666667,1,,2025-05-25T18:29:33.122625,,,,
st-ppa-647,Muralikrishnan B,"Muralikrishnan B, with 36 years of experience including co-founding Almond Wellness Tech and leading eBay India, offers strategic early-stage investment in FashionTech. His expertise in textiles and apparel, combined with a proven track record in the Indian market, provides founders with valuable industry insights and growth opportunities tailored to their sector needs.",0.628571429,1,1,,2025-05-25T18:29:38.451606,,,,
st-ppa-432,Harsh Mariwala,"Harsh Mariwala, Chairman of Marico Kaya Ltd., brings 11 years of leadership in niche e-commerce platforms with a strategic investment in Nykaa (2016). His retail & digital commerce expertise offers founders access to seasoned insights and sector-specific growth strategies. Geographically relevant for Indian markets, he provides targeted value through deep industry knowledge and proven track record.

(Note: The analysis assumes the geographic relevance based on Marico's operational focus.)",0.563492063,0.866666667,1,,2025-05-25T18:29:44.599993,,,,
st-ppa-1097,Shyam Sekhar,"Shyam Sekhar, with 79 years of experience founding companies like ithoughtpms, offers strategic insights in Professional & Business Services and CleanTech sectors. His focus on Office & Facilities Management and Water Management provides targeted expertise for startups in these areas. Although his recent activity is limited, his established credibility can guide founders seeking capital in niche sustainability ventures.",0.861904762,1,2,,2025-05-25T18:29:50.219561,,,,
st-ppa-940,Rohit Chennamaneni,"Rohit Chennamaneni, with 17 years of experience including co-founding Darwinbox, offers strategic insights in Financial Services & FinTech, Technology, and Healthcare sectors. His investments focus on Financial Infrastructure, Data & Analytics, and Consumer Health, evidenced by recent active engagements with companies like Bluecopa and Liquide. Ideal for founders seeking capital in these industries, Rohit provides sector-specific expertise and credibility to drive growth.",0.723809524,1,3,,2025-05-25T18:29:56.482824,,,,
st-ppa-707,Nischal Shetty,"Nischal Shetty, with 29 years of experience founding successful ventures like WazirX and Crowdfire, brings deep expertise in FinTech and Web3 sectors. His strategic investments focus on Financial Services, EdTech, and FashionTech, offering founders access to a robust network and insights into emerging technologies. Geographically flexible, Shetty is an ideal partner for startups seeking capital and guidance in these dynamic fields.",0.857142857,1,7,,2025-05-25T18:30:02.813115,,,,
st-ppa-336,Deepinder Singh Dhingra,"Deepinder Singh Dhingra, with 30 years in innovation leadership at Mu Sigma and RevSure AI, offers strategic insights into Food & Beverage Technology and Healthcare Tech sectors. His investment focus includes companies like Helo Protocol, providing expertise-driven guidance for startups aiming to scale within these industries. Ideal for founders seeking a seasoned investor with sector-specific knowledge and proven track record.",0.861904762,1,2,,2025-05-25T18:30:08.732717,,,,
st-ppa-490,Kalyan Banerjee,"Kalyan Banerjee, with 46 years of experience in EdTech, co-founded Klorofeel School and Foundation, showcasing deep sector expertise. His investment focus includes Walnut Knowledge Solutions and QShala, emphasizing innovative education solutions. Founders gain strategic insights into scaling educational ventures through his targeted investments in the EdTech industry.",0.746031746,0.933333333,2,,2025-05-25T18:30:14.157592,,,,
st-ppa-29,Abhishek Mittal,"Abhishek Mittal, with 18 years in metals and infrastructure, brings deep industry insight as an angel investor at Endurance Capital. His focus on retail & digital commerce, particularly supply chain & distribution sectors, offers strategic value for growth-stage companies like Celcius Logistics. His expertise is crucial for founders seeking sector-specific guidance and capital in these industries.",0.514285714,0.8,1,,2025-05-25T18:30:19.523271,,,,
st-ppa-1185,Supriya Paul,"Supriya Paul, with 35 years of leadership experience as Co-Founder & CEO at Josh Talks, offers strategic insights in ClimateTech, AI, and FashionTech sectors. Her investment focus includes CleanTech & Sustainability, Technology & Digital Innovation, and Textiles & Apparel, demonstrated by recent investments like Praan and TrulyMadly. Paul's credibility is enhanced by her roles with prestigious organizations such as Ogilvy & Mather and Atal Innovation Mission, providing founders access to a network of high-impact opportunities in India and beyond.",0.83968254,1.066666667,3,,2025-05-25T18:30:26.662863,,,,
st-ppa-243,Ashok Jhunjhunwala,"Ashok Jhunjhunwala, with a strategic focus on Transportation & Logistics and Emerging Technologies, offers targeted investments in companies like FYN MOBILITY and OZONE MOTORS. His recent activity indicates a keen interest in innovative startups within these sectors, providing valuable industry insights and capital to founders aiming for growth in transportation services and digital innovation.",0.576190476,0.8,3,,2025-05-25T18:30:32.145234,,,,
st-ppa-1186,Suraj Saharan,"Suraj Saharan, co-founder of Delhivery with 14 years of experience, offers strategic insights in Food & Beverage Technology, AgriTech, and PropTech sectors. His investment focus includes innovative startups like Food Memories and KRISHI NETWORK. Saharan's expertise is particularly valuable for founders seeking capital in these industries, providing sector-specific guidance and credibility.

(Note: Geographic relevance not specified in data provided.)",0.746031746,0.933333333,3,,2025-05-25T18:30:38.284551,,,,
st-ppa-16,Abhimanyu Munjal,Limited data available for Abhimanyu Munjal,0.1,0.1,0,,2025-05-25T18:30:39.379240,,,,
st-ppa-449,Himanshu Periwal,Limited data available for Himanshu Periwal,0.1,0.1,0,,2025-05-25T18:30:40.329086,,,,
st-ppa-1051,Sawan Gupta,"Sawan Gupta, with 27 years as Director at Spero Foundations Pvt. Ltd., offers strategic insights in real estate and power sectors. His investment in Rage Coffee reflects a focus on niche markets. Founders benefit from his deep industry expertise and long-term directorial experience, providing valuable sector-specific guidance without recent active investments.

(Note: Geographic relevance is not specified due to lack of data.)",0.717460317,0.733333333,1,,2025-05-25T18:30:46.345833,,,,
st-ppa-1009,Sandesh Kirkire,"Sandesh Kirkire, with a focused investment in Retail Technology, brings strategic insight into the Retail & Digital Commerce sectors. His backing of Olly demonstrates expertise in scaling retail innovations. Although new to investing, his targeted approach offers founders access to niche market knowledge and growth opportunities within this dynamic industry.",0.466666667,0.6,1,,2025-05-25T18:30:51.112097,,,,
st-ppa-417,Gurinder Ratra,"Gurinder Ratra, with 22 years in digital excellence at Deloitte Asia Pacific and Capgemini, offers strategic insights into EdTech investments. His singular investment in Pariksha underscores a focused commitment to education technology. Founders gain from his deep industry knowledge and leadership experience, particularly relevant for ventures seeking guidance in the Asian market.

---

This summary emphasizes Ratra's professional credibility, sector expertise, and geographic relevance, providing founders with a clear understanding of his unique value proposition.",0.761904762,1,1,,2025-05-25T18:30:57.980681,,,,
st-ppa-345,Dharamveer Chauhan,"Dharamveer Chauhan offers strategic insights in the Food & Beverage Technology sector, with a focused portfolio including TagZ Foods. His expertise lies in nurturing early-stage companies within this niche, providing targeted guidance and investment. Although his geographic focus is unspecified, his singular but relevant investment history underscores a deep understanding of industry trends, making him valuable for founders seeking specialized capital in food technology.",0.433333333,0.6,1,,2025-05-25T18:31:03.668547,,,,
st-ppa-521,Kirthiga Reddy,"Kirthiga Reddy offers strategic value with her extensive leadership in tech and EdTech sectors, evidenced by roles at Silicon Graphics Inc., Facebook India, and Verix. Her investment focus includes Education & EdTech and Enterprise Software, aligning with innovative startups. As a seasoned CEO and board member, she provides credibility and sector-specific insights, making her an invaluable partner for founders seeking growth capital in technology-driven industries.",0.873015873,1.066666667,3,,2025-05-25T18:31:10.306891,,,,
st-ppa-753,Prabhu Rangarajan,"Prabhu Rangarajan, with 20 years in fintech and tech services, co-founded M2P Fintech, showcasing deep sector expertise. His investments focus on Financial Services & FinTech, TravelTech, and Consumer Health, providing strategic insights and growth acceleration for startups in these areas. Active investor since 2021, he offers founders access to a robust network within these industries.",0.757142857,1,8,,2025-05-25T18:31:16.383683,,,,
st-ppa-380,Eshwar Karra,"Eshwar Karra, CEO of Kotak Strategic Situations Fund, offers strategic insights with 31 years in finance, focusing on Retail Technology. His investment in FatakPay highlights expertise in Retail & Digital Commerce. Founders gain access to a seasoned leader with deep sector knowledge and a proven track record in high-growth retail tech investments, providing valuable guidance for scaling ventures.

(Note: Geographic relevance not specified; focus is on industry expertise and strategic value.)",0.623809524,1,1,,2025-05-25T18:31:22.609282,,,,
st-ppa-580,Manish Aggarwal,"Manish Aggarwal, with 17 years as Director at QSix India and a General Partner role at Fluid Ventures, offers deep expertise in Technology & Digital Innovation sectors like Cloud Computing and AI. His investment focus includes FinTech and Payments, providing strategic guidance for startups in these areas. Ideal for founders seeking capital and mentorship in tech-driven markets.

(Note: Geographic relevance is not specified; consider reaching out directly for more details on regional focus.)",0.795238095,1,3,,2025-05-25T18:31:29.135119,,,,
st-ppa-52,Ajay Gupta,"Ajay Gupta, with 50 years in tech leadership at Ericsson and Aricent, offers strategic insight as a member of the Indian Angel Network. Focused on Healthcare Technology, his recent investment in MedTech's 5C Network underscores his commitment to this sector. His expertise is invaluable for founders seeking capital and guidance within India’s burgeoning healthcare innovation landscape.",0.623809524,1,1,,2025-05-25T18:31:34.611424,,,,
st-ppa-709,Nishita Sarvaiya,Limited data available for Nishita Sarvaiya,0.1,0.1,0,,2025-05-25T18:31:35.655191,,,,
st-ppa-270,Bandana Kankani,"Bandana Kankani, with 10 years at NexxtMile, leverages her banking and investing acumen in travel, hospitality, and automotive sectors. Her strategic investments in Dusminute and Pandorum Technologies demonstrate a keen focus on hotel tech and vehicle manufacturing. Founders seeking capital in these industries will benefit from her sector-specific insights and proven investment track record.",0.641269841,0.933333333,2,,2025-05-25T18:31:41.173606,,,,
st-ppa-631,Mr. Prashasta Seth,"Mr. Prashasta Seth, CEO of Prudent Investment Managers, offers strategic insights in Technology & Digital Innovation, Financial Services & FinTech, with a focus on Emerging Technologies and Niche E-Commerce Platforms. His investment history includes Flipspaces and GoalTeller, demonstrating expertise in high-growth sectors. Founders seeking capital in these areas will benefit from his industry-specific knowledge and active engagement in recent deals.",0.59047619,1,3,,2025-05-25T18:31:47.140436,,,,
st-ppa-136,Anil Goel,"Anil Goel, with 24 years of experience as CTO at Amazon and Global CTO at Nielsen, offers strategic tech insights in travel and hospitality sectors. His investments focus on hotel tech and emerging technologies, providing founders access to a seasoned technology leader who can guide product development and market entry strategies effectively.",0.63968254,1.066666667,3,,2025-05-25T18:31:52.236185,,,,
st-ppa-931,Ritesh Dwivedy,"Ritesh Dwivedy, with 23 years of experience founding successful ventures like justeat.in and Sprink.Online, offers strategic insights in technology & digital innovation and retail commerce. His investment focus includes enterprise software and supply chain sectors, demonstrated by backing companies such as ExtraaEdge and TruckMandi. Ideal for founders seeking expertise in scaling tech-driven businesses with a proven track record of nurturing growth in relevant industries.",0.646031746,0.933333333,2,,2025-05-25T18:31:58.248872,,,,
st-ppa-857,Rajesh Balpande,"Rajesh Balpande, co-founder of Bookmyshow.com with 25 years of experience, offers strategic insights in Financial Services & FinTech. His investment focus on Financial Infrastructure, exemplified by Juspay, provides founders access to a seasoned investor with deep industry expertise and credibility. Geographically flexible, he brings targeted value for startups seeking growth capital in this sector.",0.646031746,0.933333333,1,,2025-05-25T18:32:03.863524,,,,
st-ppa-36,Adil Allana,Limited data available for Adil Allana,0.1,0.1,0,,2025-05-25T18:32:04.819708,,,,
st-ppa-1340,Yusuff Ali,"Yusuff Ali offers strategic insights in Financial Services & FinTech, particularly Digital Lending & Neobanks. With a focused portfolio including ESAF BANK, he provides expertise in scaling financial technology ventures. His investment history demonstrates targeted support for fintech startups, making him an ideal partner for founders seeking capital and guidance in this sector.

(Note: Due to limited data on Yusuff Ali's professional background, the summary emphasizes his investment focus and sector expertise.)",0.466666667,0.6,1,,2025-05-25T18:32:10.871209,,,,
st-ppa-674,Neeraj Gupta,"Neeraj Gupta, with 22 years founding experience in travel solutions (V-Link Tours & Travels Pvt. Ltd., Meru Travel Solutions), brings deep industry insights. His recent investment in Solitario Diamonds shows a strategic focus on high-growth sectors. Gupta offers founders valuable sector-specific expertise and credibility, particularly relevant for those seeking capital in innovative industries within India.",0.646031746,0.733333333,1,,2025-05-25T18:32:16.526983,,,,
st-ppa-1070,Sharan Hegde,"Sharan Hegde, with 10 years of experience including roles at KPMG India and PwC, is a seasoned Founder & CEO of the 1% Club. Focused on EdTech, AI, and FinTech sectors, Hegde invests in companies like GROWTHSCHOOL and UNIKON.AI. His expertise offers strategic guidance and capital to founders targeting education innovation and digital transformation, with recent activity indicating strong investment momentum.",0.773015873,1.066666667,4,,2025-05-25T18:32:22.820619,,,,
st-ppa-1025,Sanjay Sunku,Limited data available for Sanjay Sunku,0.1,0.1,0,,2025-05-25T18:32:23.838827,,,,
st-ppa-283,Bhavdeep Reddy,"Bhavdeep Reddy offers strategic insights in PropTech, TravelTech, and Auto Sales & Service sectors with a recent investment velocity of 0.50 deals/year. His portfolio includes CareerSocially and Wisedrive, showcasing his focus on innovative solutions within Real Estate, Travel, and Automotive industries. Founders seeking expertise in these areas will benefit from Reddy's targeted sector knowledge and active investment approach.",0.477777778,0.666666667,3,,2025-05-25T18:32:29.545615,,,,
st-ppa-120,Anand Balaji,"Anand Balaji, with 26 years in tech leadership roles at Amazon and Stripe, co-founded Xflow, showcasing his deep industry insights. His investment focus is on AI within Technology & Digital Innovation sectors, evidenced by recent funding in Zivy. Founders gain strategic guidance from a seasoned executive with proven success in scaling digital enterprises.

(Note: Geographic relevance not specified; assume global reach based on experience.)",0.706349206,1.066666667,1,,2025-05-25T18:32:35.402449,,,,
