startt-ppa-id,personalInformation_name,company,designation,period
,Deepak Garg,"National Start Up Advisory Council (DPIIT, Ministry of Commerce and Industry)",Member,Jan 2021 - Present
,Deepak Garg,RIVIGO,Founder and CEO,Aug 2014 - Nov 2022
,Deepak Garg,McKinsey & Company,Associate Partner,Jun 2006 - Aug 2014
,Deepak Garg,Geometric Ltd.,Software Developer,Apr 2003 - May 2004
,Deobrat Singh,Backstage.Army,Co-Founder & CEO,Oct 2019 - Present
,Deobrat Singh,Meltwater,Product Owner,Apr 2018 - Sep 2019
,Deobrat Singh,Sysomos (acq. by Meltwater),"Senior Director, Business Engineering",Nov 2016 - Apr 2018
,Deobrat Singh,GazeMetrix (acquired by Sysomos),Co-founder & CEO,Jan 2012 - Nov 2016
,Deobrat Singh,Nivio,Senior Technology Officer,Feb 2010 - Dec 2011
,Deobrat Singh,EA,Software Engineer - II,Jun 2009 - Feb 2010
,Deobrat Singh,Microsoft,SDE,Jan 2007 - May 2009
,Deobrat Singh,HCL Technologies Ltd,Software Engineer,Jun 2006 - Oct 2006
,Deobrat Singh,TeamExcel Technologies,System Analyst,May 2005 - May 2006
,Deobrat Singh,Infantors,Co-founder and Principle Contributor,Dec 2002 - Feb 2005
,Devendra Chawla,GreenCell Mobility,MD & CEO,Feb 2023 - Present
,Devendra Chawla,Spencer's Retail,Managing Director / Chief Executive Officer,Feb 2019 - Jan 2023
,Devendra Chawla,Walmart,"Chief Operating Officer, Member of the Board, Global Officer & Executive Vice President",Aug 2017 - Jan 2019
,Devendra Chawla,Future Consumer Limited,"CEO - Future Consumer Ltd, Group President Future Group Food Retail business",Dec 2014 - Jul 2017
,Devendra Chawla,Future Group India,CEO - Food / Grocery business including all FMCG,Jun 2011 - Dec 2014
,Devendra Chawla,Future Group,CEO - Private Brands,Jan 2009 - Jun 2011
,Devendra Chawla,Reliance Retail,Vice-President,May 2006 - Dec 2008
,Devendra Chawla,The Coca-Cola Company,"Director - Route to Market, Customer Service, Operations",May 2001 - May 2006
,Devendra Chawla,Asian Paints,Regional Manager / Branch Manager,Jun 1996 - May 2001
,Devendra Chawla,Nivea JL Morison,Area Sales Manager,Jan 1995 - Dec 1996
,Dhaval Gupta,NYTCP,Partner,Jul 2023 - Present
,Dhaval Gupta,TiE Delhi-NCR,Charter Member,Feb 2023 - Present
,Dhaval Gupta,CyberMedia,Managing Director,Jan 2009 - Present
,Dhaval Gupta,DU Beat,Director,May 2010 - Present
,Dhaval Gupta,IDC Asia/Pacific,nan, - 
,Dhawal Gusain,Postudio,Reimagining Post-Production,Jan 2023 - Present
,Dhawal Gusain,Disney+ Hotstar,"EVP - Head of Content Ops, Insights & New Initiatives",Feb 2021 - Dec 2022
,Dhawal Gusain,The Viral Fever,CEO & Board Member,Jan 2015 - Dec 2020
,Dhawal Gusain,DropThought Inc (Acquired),"VP, Strategy and Business Development",Jan 2013 - Dec 2015
,Dhawal Gusain,Booz & Company,"Sr Associate/ Engagement Mgr, Associate",Jan 2010 - Dec 2013
,Dhawal Gusain,Unilever,"Product Dev Mgr, Manufacturing Mgr, Mgmt Trainee",Jan 2005 - Dec 2008
,Dhruv Sane,Malpani Ventures,Principal,Apr 2021 - Present
,Dhruv Sane,Lodha Capital Markets Limited,Senior Associate,Apr 2018 - Apr 2021
,Dhruv Sane,Deloitte India,Deputy Manager,Jan 2015 - Mar 2018
,Diksha Pande,Samosa Party,Co-Founder,Jan 2020 - Present
,Diksha Pande,CoWrks,"Director- Operations, Experience and Community",Jan 2018 - Jan 2020
,Diksha Pande,Chai Point,Vice President,Nov 2015 - Dec 2017
,Diksha Pande,Ambuja Neotia Hospitality,Senior General Manager,Dec 2014 - Oct 2015
,Diksha Pande,Yum! Restaurants International,Operations Innovation Lead,Feb 2013 - Oct 2014
,Diksha Pande,Oberoi Hotels & Resorts,"Food & Beverage Manager, The Oberoi Gurgaon",Jan 2005 - Jan 2013
,Dinesh Gupta,Algofast India Pvt Ltd,Co-Founder & Director,Jul 2024 - Present
,Dinesh Gupta,DGS Ventures LLP,Managing Partner,Aug 2022 - Present
,Dinesh Gupta,Digitronics Infosolutions Pvt Ltd,Co-Founder & Director,Sep 1990 - Present
,Dinesh Gupta,Busy Infotech Pvt Ltd,Co-Founder & MD,Aug 1997 - Mar 2022
,Dinesh Gupta,Blue Star Ltd,Customer Support Engineer,Jul 1989 - Aug 1990
,Dinesh Gupta,Logitronics Pvt Ltd,R&D Engineer,Jul 1987 - Jun 1989
,Dinesh Challa,Techolution,Chief Architect,Sep 2016 - Apr 2023
,Dinesh Challa,IgnitionOne,Associate Architect,Sep 2015 - Sep 2016
,Dinesh Challa,Logic4G Solutions Pvt Ltd,Technical Lead,Apr 2014 - Sep 2015
,Dinesh Challa,Portware,Senior Software Engineer,Jan 2013 - Apr 2014
,Dinesh Challa,Xilinx,Software Engineer,Jul 2010 - Jul 2013
,Dipen Shah,ALKEGEN,General Manager,Aug 2023 - Present
,Dipen Shah,VAG-Group,Managing Director,Aug 2016 - Aug 2023
,Dipen Shah,Ingersoll Rand,Leader - India & Africa for Power Tools,May 2005 - Jul 2016
,Dipen Shah,Ingersoll Rand Security Technologies,New Product Development Engineer,May 2004 - May 2005
,Dipen Shah,Flat Products Equipments India Ltd,Design Engineer,Jun 2002 - Dec 2002
,Divya Rao,Google,"Global lead, Customer experience (Apps, gTech)",Apr 2011 - Present
,Divya Rao,Procter & Gamble,Key Account Manager,Jul 2008 - May 2011
,Suman D.,"AIIMS (All India Institute of Medical Sciences, New Delhi)",Assistant Professor,Dec 2022 - Present
,Suman D.,Psaizi,Technical mentor,Jul 2022 - Present
,Suman D.,CleomeSoft Technologies,Managing Director,Dec 2019 - Jan 2023
,Suman D.,AIIMS,Assistant Professor,Jun 2022 - Dec 2022
,Suman D.,Esic Medical College And Hospital,Assistant Professor,Mar 2021 - Jun 2022
,Suman D.,Small and Medium Sector,Research And Policy Analyst,Mar 2018 - Mar 2019
,Suman D.,Vrije Universiteit Amsterdam (VU Amsterdam),Postdoctoral Researcher,Sep 2015 - Aug 2018
,Dr. Ajith Kamath,Natural Remedies Private Limited,Research Executive,Dec 2011 - Present
,Dr. Ajith Kamath,Muniyal Ayurveda Family Clinic,Medical Officer,Apr 2011 - Sep 2011
,Dravya Dholakia,Dholakia Ventures,Founding Partner,Oct 2020 - Present
,Dravya Dholakia,Hari Krishna Exports Pvt. Ltd.,Nextgen,Sep 2018 - Present
,Ekyum Singh,Akum Investment Strategy & Co,Founder and Investment Analyst,Mar 2025 - Present
,Ekyum Singh,Max Auto Export House,Senior Associate,Feb 2024 - Mar 2025
,Ekyum Singh,The VC Fellowship,VC Fellow,Aug 2024 - Nov 2024
,Ekyum Singh,Bayfront Capital Advisors,Investment Banking Senior Associate,Mar 2023 - Jan 2024
,Ekyum Singh,Bank of America Merrill Lynch,Commercial Banking Analyst,Jan 2020 - Aug 2021
,Ekyum Singh,"MD Global Partners, LLC",Investment Banking Analyst,Apr 2019 - Dec 2019
,Ekyum Singh,Meliora Capital Management LLC,Investment Associate,Nov 2018 - Mar 2019
,Elliot Stechman,TrustED,Advisor,Mar 2025 - Present
,Elliot Stechman,EKM Consulting LLP,Board Member,Dec 2024 - Present
,Elliot Stechman,AVC Group,Director / CTO,Oct 2010 - Present
,Elliot Stechman,EK Wireless Private Limited,Managing Director,Jun 2009 - Present
,Elliot Stechman,Bennett Coleman and Co. Ltd. (Times Group),Technology Consultant,Dec 2007 - Dec 2011
,Elliot Stechman,Reliance Entertainment,Advisor - Audio Content / Broadcast Engineering,Mar 2006 - Nov 2007
,Elliot Stechman,Reliance Broadcast Network,Advisor - Audio Content / Broadcast Engineering,Jan 2006 - Dec 2007
,Elliot Stechman,AirCheck India Pvt. Ltd.,Director,Mar 2003 - Feb 2006
,Elliot Stechman,Radio Computing Services Inc,General Manager - India,Jan 2001 - Dec 2006
,Elliot Stechman,Software Support Engineer / Solutions Installer,nan,Jun 1999 - Jul 2001
,Elliot Stechman,MediaWorks NZ,Radio Engineering / IT,Jan 1994 - Dec 1999
,Fauzan Abdul Rahim,Social Tweebs,Founder / Director,Jan 2023 - Present
,Fauzan Abdul Rahim,Ventes Avenues,Co-Founder,Jun 2015 - Present
,Fauzan Abdul Rahim,FreeCharge,AVP - Monetization,Aug 2013 - Jun 2015
,Fauzan Abdul Rahim,OOH Media,Associate Vice President - Sales & Marketing,May 2008 - Aug 2013
,Fauzan Abdul Rahim,Perfect Relations,Senior Manager,Apr 2005 - May 2008
,Fauzan Abdul Rahim,Madison Communications,Manager Communications,Apr 2003 - Apr 2005
,Fauzan Abdul Rahim,"Bennett, Coleman and Co. Ltd. (Times Group)",Marketing Officer,Jun 2000 - Jul 2001
,Feroze Mohammed,Cognida.ai,Chief Executive Officer,Jan 2022 - Present
,Feroze Mohammed,Hitachi Vantara,Chief Operating Officer,Jul 2019 - Dec 2021
,Feroze Mohammed,Hitachi Consulting,Executive Vice President and Managing Director,Jan 2011 - Jul 2019
,Feroze Mohammed,Sierra Atlantic,"Sr. Vice President, Emerging Markets",Feb 1995 - Dec 2010
,Feroze Sethna,Feroze Foods And Flavours,Managing Partner,Apr 1982 - Present
,Gaurav Batra,Semaai,Co-Founder,Oct 2021 - Present
,Gaurav Batra,DiceDB,Technical Advisor,Jun 2021 - Sep 2021
,Gaurav Batra,BehaveNeu,Strategic Advisor,Jun 2024 - Present
,Gaurav Batra,Measure,Angel Investor,May 2024 - Present
,Gaurav Batra,Merito,nan, - 
,Gaurav Batra,Cosmocloud,Angel Investor,Jul 2023 - Present
,Gaurav Batra,Reo.dev,Angel Investor,May 2023 - Present
,Gaurav Batra,Circle,Strategic Advisor,Apr 2023 - Present
,Gaurav Batra,ZERON,Strategic Advisor,May 2022 - Present
,Gaurav Batra,GrowthSchool,Angel Investor,Sep 2021 - Present
,Gaurav Batra,HuddleUp,Angel Investor,Feb 2022 - Present
,Gaurav Batra,Atom EI,Technical Advisor,May 2021 - May 2024
,Gaurav Batra,LimeTray,AVP Engineering,Jul 2018 - Jan 2020
,Gaurav Batra,Lead Developer,nan,Oct 2016 - Jun 2018
,Gaurav Batra,EAZER,Co-Founder (Tech),Oct 2015 - Oct 2016
,Gaurav Batra,Goldman Sachs,Software Engineer,Mar 2015 - Oct 2015
,Gaurav Batra,Amadeus Software Labs,Software Developer,Aug 2013 - Feb 2015
,Gaurav Batra,Sounds of Silence (SOS),iLead,Oct 2012 - Jul 2013
,GAURAV MATHRAWALA,Mathsons Re-Insurance Brokers,Executive Director,Mar 2020 - Present
,GAURAV MATHRAWALA,Math Re-Insurance Brokers Ltd.,Director,Apr 2015 - Jan 2020
,GAURAV MATHRAWALA,Mathrawala & Sons Insurance Brokers Pvt. Ltd.,Director,Apr 2003 - Mar 2015
,Gaurav Vij,Sanctum Wealth Management,Regional Head East,Apr 2019 - Present
,Gaurav Vij,Kotak Mahindra Bank,Head - Tier II Business - Kotak Wealth Management,Aug 2002 - Nov 2018
,Gautam Khanna,Hinduja Hospital,CEO,Apr 2014 - Present
,Gautam Khanna,"Association of Hospitals, Mumbai",President,Sep 2020 - Present
,Gautam Khanna,Quality Council of India (QCI),"Member, QCI Apex Steering Committee for Grading of NABH accredited Healthcare organisations",Jun 2023 - Present
,Gautam Khanna,PanIIT Alumni India,Executive Committee Member,Jun 2022 - Present
,Gautam Khanna,KPB Hinduja College of Commerce,"Member, Governing Council",Aug 2014 - Nov 2024
,Gautam Khanna,Goa Institute of Management (GIM),"Member, Board of Studies - Health Care management",Dec 2022 - Dec 2023
,Gautam Khanna,FICCI,"Chairman, Ficci Health Services Committee",Jan 2022 - Dec 2022
,Gautam Khanna,FICCI Health Services,Co Chairman,Jan 2020 - Dec 2021
,Gautam Khanna,Health care company,Independent Director,Oct 2014 - Mar 2021
,Gautam Khanna,"Association of Hospitals, Maharashtra",Vice President,Jan 2015 - Sep 2020
,Gautam Khanna,Advamed India Working Group,Chair,Aug 2013 - Mar 2014
,Gautam Khanna,Amcham Medical Equipment committee,Co Chairman,Apr 2013 - Mar 2014
,Gautam Khanna,3M India Ltd,Executive Director,Jun 1992 - Mar 2014
,Gautam Midha,Silence Laboratories,BD and Growth Lead,Jan 2024 - Present
,Gautam Midha,Stader Labs,Head of Strategy and Expansion,Jan 2022 - Oct 2023
,Gautam Midha,BlackWatch Advisors LLC,Vice President,Feb 2019 - Jan 2022
,Gautam Midha,A.T. Kearney,Manager,Dec 2016 - Jan 2019
,Gautam Midha,Nomura,Summer Associate,May 2012 - Jun 2012
,Gautam Midha,Deutsche Bank,Analyst,Nov 2010 - Apr 2011
,Gautam Midha,JPMorgan Chase,QA Analyst,Jul 2009 - Oct 2010
,Gazal S. Kalra,Nuuk,Co-Founder,Jan 2023 - Present
,Gazal S. Kalra,"World Economic Forum - Emerging Markets Task Force on Zero Emission Mobility - India, Indonesia",nan,Jan 2023 - Present
,Gazal S. Kalra,BlueAtom Advisors,Advisor,Jun 2022 - Present
,Gazal S. Kalra,Switch Labs,Advisor,Mar 2023 - Present
,Gazal S. Kalra,Rivigo,"Co-Founder, Co-Pilot",Aug 2014 - Jun 2021
,Gazal S. Kalra,CGAP/ World Bank Group,Consultant,Jul 2012 - Aug 2012
,Gazal S. Kalra,Office of Member of Parliament (Lok Sabha),Chief of Staff (Parliamentary Associate) to Member of Parliament,Nov 2009 - Jul 2011
,Gazal S. Kalra,Public Health Foundation of India,Chief of Staff (Special Initiatives) to President,May 2009 - Oct 2009
,Gazal S. Kalra,McKinsey & Company,Business Analyst,Jun 2007 - May 2009
,Gireesh Narsimhan,Corporate Finance Associates,"Managing Director, India",Jan 2009 - Present
,Gireesh Narsimhan,Saltrock Advisors Private Limited,Managing Director,Apr 2007 - Mar 2009
,Gireesh Narsimhan,IndiaCo Ventures Limited,Executive Director,Aug 2003 - Feb 2007
,Gireesh Narsimhan,Kitchen No1 Private Limited,Founder & CEO,Jan 2001 - Jun 2003
,Gireesh Narsimhan,DSS Agrisolutions Private Limited,Investor,Sep 2023 - Present
,Gireesh Narsimhan,Intangles Lab Pvt Ltd,Investor & Member Board Of Directors,Jul 2016 - Present
,Gireesh Narsimhan,Uber Diagnostics Private Limited,Investor & Member Board of Directors,Nov 2022 - Present
,Gireesh Narsimhan,Teknovace Wood Coatings Private Limited,Investor,Nov 2021 - Present
,Giridhar Malpani,Climber Capital,Shareholder,Mar 2022 - Present
,Giridhar Malpani,Broadway,Investor,Feb 2025 - Present
,Giridhar Malpani,Scimplifi,Investor,Nov 2023 - Present
,Giridhar Malpani,newme,Investor,Jan 2022 - Present
,Giridhar Malpani,Credit Wise Capital,Investor,Jun 2021 - Present
,Giridhar Malpani,NxtWave,Investor,Apr 2021 - Present
,Giridhar Malpani,VideoVerse,Investor,Nov 2020 - Present
,Giridhar Malpani,Loop Subscriptions,Investor,Aug 2021 - Present
,Giridhar Malpani,SuperAGI,Investor,Jun 2023 - Present
,Giridhar Malpani,BrightChamps,Investor,Aug 2020 - Present
,Giridhar Malpani,Vetic,Investor,Jun 2022 - Present
,Giridhar Malpani,CoverSelf,Investor,Apr 2021 - Present
,Giridhar Malpani,Nirnai Tech Pvt Ltd,Investor,Mar 2025 - Present
,Giridhar Malpani,Vecmocon Technologies,Investor,Apr 2022 - Present
,Giridhar Malpani,Lozen Pharma Pvt Ltd,Investor,Nov 2023 - Present
,Giridhar Malpani,Hyperface,Investor,Apr 2021 - Present
,Giridhar Malpani,Vegapay,Investor,Mar 2022 - Present
,Giridhar Malpani,VIRGIO,Investor,Apr 2022 - Present
,Giridhar Malpani,One Impression,Investor,Sep 2021 - Present
,Giridhar Malpani,Venwiz,Investor,Apr 2022 - Present
,Giridhar Malpani,The Hosteller,Investor,Apr 2024 - Present
,Giridhar Malpani,RenderX,Evangelist,Jun 2018 - Present
,Giridhar Malpani,Rustomjee,Project Manager,Jun 2018 - Aug 2018
,Giridhar Malpani,L&T Constructions,Manager Project Management,May 2018 - Aug 2018
,Giridhar Malpani,Zeons XYZ,Entrepreneur,Jun 2017 - Aug 2017
,Girjesh Vyas,UBS,Full Stack Developer,May 2022 - Present
,Girjesh Vyas,Tietoevry,Senior Tech Lead,Mar 2020 - May 2022
,Girjesh Vyas,Tieto,Technical Lead,Jan 2013 - Sep 2019
,Girjesh Vyas,Ness Technologies,Senior Software Engineer,Jan 2011 - Dec 2012
,Girjesh Vyas,ANMsoft Technologies Private Limited,Senior Software Engineer,Mar 2007 - Jan 2011
,Gurinder Ratra,Deloitte Asia Pacific,Director | Associate Director | Sr. Manager for Digital Excellence,Jul 2018 - Present
,Gurinder Ratra,Capgemini,Director Of Business Development,Dec 2016 - Dec 2018
,Gurinder Ratra,Capgemini/Altran,Senior Business Relationship Manager,Dec 2013 - Nov 2016
,Gurinder Ratra,Samsung Electronics Ltd,Chief Engineer - Technical Marketing for Global Sales and Marketing of Samsung Electronics,Nov 2010 - Nov 2013
,Gurinder Ratra,Tech Mahindra,Opportunity Manager - SI and Services Business for Applications BU,Jan 2010 - Nov 2010
,Gurinder Ratra,Aricent Technologies,Pre Sales and Business Development for NEM and Service Providers,Jan 2005 - Jan 2010
,Gurinder Ratra,TCS,System Engineer for Nortel Networks Lab,Jan 2003 - Dec 2005
,Gurupandian Chandrasekaran,Vieu,Advisor,Jun 2024 - Present
,Gurupandian Chandrasekaran,Various Startups,Advisor - Startups,Jan 2023 - Present
,Gurupandian Chandrasekaran,Factors.AI,Angel Investor / Advisor,Jul 2022 - Present
